,lat,lon,date,spd10,spd100,dir10,dir100
53,47.2,7.9,2024-09-09 00:00:00+00:00,10.5142183303833,19.881649017333984,218.04708862304688,222.0642547607422
54,48.2,6.3,2024-09-09 00:00:00+00:00,13.755578994750977,26.874910354614258,222.87889099121094,230.98060607910156
55,48.2,6.5,2024-09-09 00:00:00+00:00,13.746155738830566,26.932714462280273,224.99989318847656,232.0577850341797
56,48.2,6.7,2024-09-09 00:00:00+00:00,13.281023025512695,25.460933685302734,212.8285369873047,226.1456756591797
57,48.2,6.9,2024-09-09 00:00:00+00:00,12.98497486114502,26.072052001953125,226.1232147216797,234.55419921875
58,48.2,7.1,2024-09-09 00:00:00+00:00,12.864648818969727,26.901416778564453,252.07199096679688,254.475830078125
59,48.2,7.3,2024-09-09 00:00:00+00:00,5.815978050231934,13.627795219421387,248.1985321044922,257.799560546875
60,48.2,7.5,2024-09-09 00:00:00+00:00,4.735060214996338,10.99032211303711,188.74607849121094,211.60745239257812
61,48.2,7.7,2024-09-09 00:00:00+00:00,6.989935398101807,14.003028869628906,168.11135864257812,197.96923828125
62,48.2,7.9,2024-09-09 00:00:00+00:00,9.007196426391602,19.011953353881836,182.29055786132812,198.7781219482422
63,49.2,6.3,2024-09-09 00:00:00+00:00,14.618837356567383,28.001426696777344,217.998779296875,224.99989318847656
64,49.2,6.5,2024-09-09 00:00:00+00:00,15.02110481262207,28.90106964111328,224.02906799316406,230.55996704101562
65,49.2,6.7,2024-09-09 00:00:00+00:00,11.18320083618164,23.424907684326172,213.17852783203125,226.2452850341797
66,49.2,6.9,2024-09-09 00:00:00+00:00,9.565437316894531,21.0284366607666,199.79896545410156,218.04708862304688
67,49.2,7.1,2024-09-09 00:00:00+00:00,9.983105659484863,21.0284366607666,205.64096069335938,218.04708862304688
68,49.2,7.3,2024-09-09 00:00:00+00:00,10.233122825622559,21.382905960083008,219.2893829345703,224.99989318847656
69,49.2,7.5,2024-09-09 00:00:00+00:00,10.630672454833984,23.224882125854492,241.6993408203125,251.0032501220703
70,49.2,7.7,2024-09-09 00:00:00+00:00,9.693296432495117,21.829776763916016,248.1985321044922,256.6512756347656
71,49.2,7.9,2024-09-09 00:00:00+00:00,8.55710220336914,19.41665267944336,255.37908935546875,259.31512451171875
72,50.2,6.3,2024-09-09 00:00:00+00:00,17.33989715576172,31.845251083374023,221.63345336914062,222.70936584472656
73,50.2,6.5,2024-09-09 00:00:00+00:00,17.309974670410156,31.845251083374023,224.99989318847656,227.29063415527344
74,50.2,6.7,2024-09-09 00:00:00+00:00,14.512063980102539,27.841293334960938,209.7447967529297,220.27978515625
75,50.2,6.9,2024-09-09 00:00:00+00:00,9.44957160949707,19.966211318969727,197.74476623535156,205.64096069335938
76,50.2,7.1,2024-09-09 00:00:00+00:00,7.787990570068359,18.03236961364746,213.69009399414062,206.05343627929688
77,50.2,7.3,2024-09-09 00:00:00+00:00,7.412853240966797,18.204042434692383,209.05450439453125,204.53770446777344
78,50.2,7.5,2024-09-09 00:00:00+00:00,6.830519199371338,16.78156089782715,198.43504333496094,215.39488220214844
79,50.2,7.7,2024-09-09 00:00:00+00:00,5.9044389724731445,16.831684112548828,217.56866455078125,228.46832275390625
80,50.2,7.9,2024-09-09 00:00:00+00:00,8.404285430908203,18.875125885009766,223.2643280029297,235.09742736816406
